City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
maple creek,49.9168,-109.4848,-2.15,71,100,9.22,CA,1643743772
itacoatiara,-3.1431,-58.4442,85.15,68,91,4.56,BR,1643743772
santa rosa,14.3122,121.1114,76.86,75,25,10.18,PH,1643743188
rikitea,-23.1203,-134.9692,78.04,70,100,7.25,PF,1643743772
poopo,-18.3667,-66.9667,54.37,59,62,4.54,BO,1643743773
saldanha,-33.0117,17.9442,68.05,95,22,8.34,ZA,1643743664
whitehorse,60.7161,-135.0538,-16.91,75,20,3.44,CA,1643743773
victoria,22.2855,114.1577,60.94,90,100,8.99,HK,1643743558
norman wells,65.282,-126.8329,-16.56,69,75,3.44,CA,1643743773
srednekolymsk,67.45,153.6833,-21.89,98,89,2.1,RU,1643743774
san patricio,28.017,-97.5169,73.18,56,4,3.65,US,1643743576
ushuaia,-54.8,-68.3,47.82,81,75,31.07,AR,1643743774
punta arenas,-53.15,-70.9167,53.62,50,40,37.98,CL,1643743497
hobart,-42.8794,147.3294,51.66,59,20,1.99,AU,1643743774
tasiilaq,65.6145,-37.6368,10.56,70,100,5.93,GL,1643743774
bartica,6.4,-58.6167,86.32,79,96,4.54,GY,1643743775
mataura,-46.1927,168.8643,65.25,69,100,5.59,NZ,1643743775
mahebourg,-20.4081,57.7,80.89,89,75,18.41,MU,1643743504
ippy,6.2679,21.2247,80.2,20,6,2.93,CF,1643743775
chokurdakh,70.6333,147.9167,-21.51,98,100,1.59,RU,1643743776
pevek,69.7008,170.3133,-13.14,89,97,2.8,RU,1643743507
ribeira grande,38.5167,-28.7,61.2,72,20,12.66,PT,1643743776
torbay,47.6666,-52.7314,27.57,55,75,19.57,CA,1643743776
nikolskoye,59.7035,30.7861,24.69,99,100,2.42,RU,1643743776
luanda,-8.8368,13.2343,78.8,69,0,8.05,AO,1643743744
puerto maldonado,-12.6,-69.1833,73.8,94,75,5.75,PE,1643743777
kamiiso,41.8167,140.65,20.61,94,56,4.92,JP,1643743777
el alto,-4.2714,-81.2147,87.46,64,17,17.94,PE,1643743777
souillac,-20.5167,57.5167,80.98,89,75,18.41,MU,1643743778
bredasdorp,-34.5322,20.0403,76.3,73,1,2.86,ZA,1643743552
kvarkeno,52.0833,59.725,19.71,84,98,13.24,RU,1643743778
providencia,28.7167,-111.5833,71.2,35,100,10.33,MX,1643743778
caravelas,-17.7125,-39.2481,84.47,66,100,10.36,BR,1643743778
klaksvik,62.2266,-6.589,31.12,79,100,15.39,FO,1643743779
lengshuitan,26.4111,111.5956,39.2,93,100,5.35,CN,1643743779
arroyo,41.6096,-4.7969,44.73,74,0,12.66,ES,1643743779
callaway,30.153,-85.5699,69.19,48,0,8.01,US,1643743779
vaini,-21.2,-175.2,80.76,83,40,10.63,TO,1643743780
muli,2.9167,73.5667,82.98,76,20,15.99,MV,1643743780
cape town,-33.9258,18.4232,72.12,75,20,1.01,ZA,1643743621
albany,42.6001,-73.9662,36.81,50,24,4,US,1643743603
sur,22.5667,59.5289,73.53,71,3,6.55,OM,1643743780
grindavik,63.8424,-22.4338,37.87,56,75,18.41,IS,1643743781
cidreira,-30.1811,-50.2056,75.13,64,12,9.22,BR,1643743841
saint-philippe,-21.3585,55.7679,80.15,91,95,21.52,RE,1643743841
